Id,Label,mergenode,businesstable
1,CHARACTER_AREA.E53,CHARACTER_AREA.E53,
2,RELATIVE_LEVEL_OF_SIGNIFICANCE.E55,CHARACTER_AREA.E53,domains
3,RELATIVE_LEVEL_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.E32,CHARACTER_AREA.E53,strings
6,GUIDELINES.E62,CHARACTER_AREA.E53,strings
8,NAME.E48,ACTOR.E1,strings
10,DESCRIPTION.E62,ACTOR.E1,strings
12,PLACE.E53,ACTIVITY_A.E7,
13,CHARACTER_AREA_PLACE_NOTE.E62,ACTIVITY_A.E7,strings
15,SPATIAL_COORDINATES_GEOMETRY.E47,PLACE.E53,geometries
