Source,Target,Type,Id,Label,Weight
366,369,Directed,369,P1,1.0
1,372,Directed,372,P14,1.0
372,373,Directed,373,P1,1.0
372,375,Directed,375,P1,1.0
1,378,Directed,378,P14,1.0
378,379,Directed,379,P1,1.0
1,382,Directed,382,P14,1.0
382,383,Directed,383,P1,1.0
382,385,Directed,385,P1,1.0
1,388,Directed,388,P14,1.0
388,389,Directed,389,P1,1.0
1,392,Directed,392,P14,1.0
392,393,Directed,393,P1,1.0
1,396,Directed,396,P14,1.0
396,397,Directed,397,P1,1.0
1,400,Directed,400,P14,1.0
400,401,Directed,401,P1,1.0
1,404,Directed,404,P3,1.0
