conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
CONSTRUCTION_TECHNIQUE:51,Parapet Gable,parapet gable ,CONSTRUCTION_TECHNIQUE:48,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:52,Stepped Gable,stepped gable ,CONSTRUCTION_TECHNIQUE:48,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:53,Clipped Gable,clipped gable,CONSTRUCTION_TECHNIQUE:48,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:54,Cross Gable,cross gable ,CONSTRUCTION_TECHNIQUE:48,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:55,Double Pitch Gable,double pitch gable,CONSTRUCTION_TECHNIQUE:48,Index,CRNHA
CONSTRUCTION_TECHNIQUE:56,Gambrel,gambrel ,CONSTRUCTION_TECHNIQUE:48,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:57,Hip,hip,CONSTRUCTION_TECHNIQUE:48,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:58,Double Pitch Hip,double pitch hip ,CONSTRUCTION_TECHNIQUE:48,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:59,Gable On Hip,gable on hip,CONSTRUCTION_TECHNIQUE:48,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:60,Pyramidal,pyramidal,CONSTRUCTION_TECHNIQUE:48,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:61,Mansard,mansard ,CONSTRUCTION_TECHNIQUE:48,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:62,Complex,complex ,CONSTRUCTION_TECHNIQUE:48,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:63,Round,round ,CONSTRUCTION_TECHNIQUE:48,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:64,Conical,conical ,CONSTRUCTION_TECHNIQUE:48,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:65,Flat,flat ,CONSTRUCTION_TECHNIQUE:48,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:66,Shed,shed ,CONSTRUCTION_TECHNIQUE:48,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:67,Chimney,,CONSTRUCTION_TECHNIQUE_AUTHORITY_DOCUMENT.csv,Collector,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:68,Gable End Exterior,gable end exterior ,CONSTRUCTION_TECHNIQUE:67,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:69,Gable End Interior/Flush,gable end interior/flush,CONSTRUCTION_TECHNIQUE:67,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:70,Ridge Center,ridge center,CONSTRUCTION_TECHNIQUE:67,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:71,Ridge Off-Center,ridge off-center,CONSTRUCTION_TECHNIQUE:67,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:72,Slope Center,slope center ,CONSTRUCTION_TECHNIQUE:67,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:73,Slope Off-Center,slope off center,CONSTRUCTION_TECHNIQUE:67,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:74,Lateral Exterior,lateral exterior ,CONSTRUCTION_TECHNIQUE:67,Index,LASHPO-LHRI
CONSTRUCTION_TECHNIQUE:75,Removed,removed ,CONSTRUCTION_TECHNIQUE:67,Index,LASHPO-LHRI
