conceptid,Value,ValueType,Provider
ART_STAT_F:1,1,sortorder,PRESERVE/scapes
ART_STAT_F:2,2,sortorder,PRESERVE/scapes
ART_STAT_F:3,3,sortorder,PRESERVE/scapes
ART_STAT_F:4,4,sortorder,PRESERVE/scapes
ART_STAT_F:5,5,sortorder,PRESERVE/scapes
ART_STAT_F:6,6,sortorder,PRESERVE/scapes
