conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
SEC106_AG:1,Programmatic Agreement,,SECTION_106_AGREEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
SEC106_AG:2,Memorandum of Understanding,,SECTION_106_AGREEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
SEC106_AG:3,Memorandum of Agreement,,SECTION_106_AGREEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
SEC106_AG:4,Record of No Agreement,,SECTION_106_AGREEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
SEC106_AG:5,Record of Agreement,,SECTION_106_AGREEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
SEC106_AG:6,Other,,SECTION_106_AGREEMENT_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
