conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
OBJ_REC:1,Protect and maintain the resource's original/historic surfaces and structure.,,OBJECT_RECOMMENDATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
OBJ_REC:2,Implement AFRH-W HPMP for original/historic surfaces and structure.,,OBJECT_RECOMMENDATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
OBJ_REC:3,Repair original/historic surfaces and structure only using in-kind materials and finishes.,,OBJECT_RECOMMENDATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
OBJ_REC:4,Replace original/historic surfaces and structure only if a repair is not possible. Replacement should replicate materials and finishes.,,OBJECT_RECOMMENDATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
OBJ_REC:5,n/a,,OBJECT_RECOMMENDATION_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
