conceptid,Value,ValueType,Provider
SG_TYPE:1,1,sortorder,PRESERVE/scapes
SG_TYPE:2,2,sortorder,PRESERVE/scapes
SG_TYPE:3,3,sortorder,PRESERVE/scapes
SG_TYPE:4,4,sortorder,PRESERVE/scapes
SG_TYPE:5,5,sortorder,PRESERVE/scapes
