conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
NRHP_TYPE:1,Building,,NRHP_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_TYPE:2,Structure,,NRHP_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_TYPE:3,Object,,NRHP_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_TYPE:4,Site (Landscape),,NRHP_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_TYPE:5,Site (Archaeology),,NRHP_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
NRHP_TYPE:6,Site (Spatial Pattern),,NRHP_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
