conceptid,Value,ValueType,Provider
ACT_COND:1,1,sortorder,PRESERVE/scapes
ACT_COND:2,2,sortorder,PRESERVE/scapes
ACT_COND:3,3,sortorder,PRESERVE/scapes
ACT_COND:4,4,sortorder,PRESERVE/scapes
ACT_COND:5,5,sortorder,PRESERVE/scapes
ACT_COND:6,6,sortorder,PRESERVE/scapes
