conceptid,Value,ValueType,Provider
CURRENT_OR_HISTORIC:1,1,sortorder,PRESERVE/scapes
CURRENT_OR_HISTORIC:2,2,sortorder,PRESERVE/scapes
CURRENT_OR_HISTORIC:3,3,sortorder,PRESERVE/scapes
