conceptid,Value,ValueType,Provider
NHRP_TYPE:1,1,sortorder,preserveSCAPES
NHRP_TYPE:2,2,sortorder,preserveSCAPES
NHRP_TYPE:3,3,sortorder,preserveSCAPES
NHRP_TYPE:4,4,sortorder,preserveSCAPES
NHRP_TYPE:5,5,sortorder,preserveSCAPES
NHRP_TYPE:6,6,sortorder,preserveSCAPES
