conceptid,Value,ValueType,Provider
HERITAGE_ASSEST_CONDITION:1,1,sortorder,PRESERVE/scapes
HERITAGE_ASSEST_CONDITION:2,2,sortorder,PRESERVE/scapes
HERITAGE_ASSEST_CONDITION:3,3,sortorder,PRESERVE/scapes
