entitytype,authoritydoc,authoritydocconceptscheme
OTHER_AFRH_W_DESIGNATION_TYPE.E55,OTHER_AFRH_W_DESIGNATION_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
OTHER_DESIGNATION_STATUS.E55,OTHER_DESIGNATION_STATUS_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
OTHER_DESIGNATION_TYPE.E55,OTHER_DESIGNATION_TYPE_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
PERIOD_OF_SIGNIFICANCE.E55,PERIOD_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
RECOMMENDATION_TYPE.E55,RECOMMENDATION_TYPE_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
RELATIVE_LEVEL_OF_SIGNIFICANCE.E55,RELATIVE_LEVEL_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
RIGHT_TYPE.E55,RIGHT_TYPE_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
STYLE.E55,STYLE_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
THREAT_TYPE.E55,THREAT_TYPE_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
TITLE_TYPE.E55,PRIMARY_OR_ALTERNATIVE_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
UNIT_OF_MEASUREMENT.E55,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
WUZIT.E55,WUZIT_AUTHORITY_DOCUMENT.csv,PRESERVEscapes
