conceptid,Value,ValueType,Provider
HA_TYPE:1,1,sortorder,PRESERVE/scapes
HA_TYPE:2,2,sortorder,PRESERVE/scapes
HA_TYPE:3,3,sortorder,PRESERVE/scapes
HA_TYPE:4,4,sortorder,PRESERVE/scapes
HA_TYPE:5,5,sortorder,PRESERVE/scapes
