conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
REL_SIG_LVL:1,Key,,RELATIVE_LEVEL_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
REL_SIG_LVL:2,Significant,,RELATIVE_LEVEL_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
REL_SIG_LVL:3,Supporting,,RELATIVE_LEVEL_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
REL_SIG_LVL:4,Minor,,RELATIVE_LEVEL_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
REL_SIG_LVL:5,Non-Contributing,,RELATIVE_LEVEL_OF_SIGNIFICANCE_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
