conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
ACT_REVI:1,CFA,,ACTIVITY_REVIEW_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_REVI:2,NCPC,,ACTIVITY_REVIEW_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_REVI:3,DCSHPO,,ACTIVITY_REVIEW_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_REVI:4,HPRB,,ACTIVITY_REVIEW_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_REVI:5,NEPA,,ACTIVITY_REVIEW_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_REVI:6,ARPA,,ACTIVITY_REVIEW_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_REVI:7,Master Plan Amendment,,ACTIVITY_REVIEW_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
ACT_REVI:8,Other,,ACTIVITY_REVIEW_AUTHORITY_DOCUMENT.csv,Index,PRESERVE/scapes
