conceptid,Value,ValueType,Provider
ART_STAT:1,1,sortorder,PRESERVE/scapes
ART_STAT:2,2,sortorder,PRESERVE/scapes
ART_STAT:3,3,sortorder,PRESERVE/scapes
ART_STAT:4,4,sortorder,PRESERVE/scapes
ART_STAT:5,5,sortorder,PRESERVE/scapes
ART_STAT:6,6,sortorder,PRESERVE/scapes
